"id";"impianto_id";"message";"service";"datetime"
"309184";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717171536, ""time_end"": 1717171656, ""doors_operations"": [{""time_start"": 1717171429.605, ""time_end"": 1717171646.305, ""duration"": 216.70000004768372, ""a_std_max_x"": 0.12445491614248719, ""a_std_max_y"": 0.053379700796382844, ""a_std_max_z"": 0.27082664081673447, ""floor"": 5.0}]}, ""date"": ""Fri May 31 2024 14:07:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-31 16:07:49"
"309170";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717171056, ""time_end"": 1717171176, ""doors_operations"": [{""time_start"": 1717171041.003, ""time_end"": 1717171041.723, ""duration"": 0.7200000286102295, ""a_std_max_x"": 0.011943369252805449, ""a_std_max_y"": 0.016595255907464176, ""a_std_max_z"": 0.03860227190225042, ""floor"": 5.0}]}, ""date"": ""Fri May 31 2024 13:59:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-31 15:59:48"
"309152";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717170456, ""time_end"": 1717170576, ""doors_operations"": [{""time_start"": 1717170488.0664296, ""time_end"": 1717170493.06631, ""duration"": 4.999880313873291, ""a_std_max_x"": 0.08533925729863391, ""a_std_max_y"": 0.05191869035387806, ""a_std_max_z"": 0.257669654498241, ""floor"": 1.0}, {""time_start"": 1717170495.3478699, ""time_end"": 1717170496.4881496, ""duration"": 1.140279769897461, ""a_std_max_x"": 0.020532711829541642, ""a_std_max_y"": 0.013808816008428124, ""a_std_max_z"": 0.0483722558843989, ""floor"": 1.0}, {""time_start"": 1717170500.0854697, ""time_end"": 1717170506.22663, ""duration"": 6.141160249710083, ""a_std_max_x"": 0.07690288333911298, ""a_std_max_y"": 0.05387169485940004, ""a_std_max_z"": 0.17820463044514112, ""floor"": 1.0}, {""time_start"": 1717170523.94883, ""time_end"": 1717170528.9498298, ""duration"": 5.000999927520752, ""a_std_max_x"": 0.0852976355952265, ""a_std_max_y"": 0.08678911757934195, ""a_std_max_z"": 0.22570112456691233, ""floor"": 5.0}, {""time_start"": 1717170536.7579498, ""time_end"": 1717170542.9880297, ""duration"": 6.230079889297485, ""a_std_max_x"": 0.07439279342046533, ""a_std_max_y"": 0.06872557087815546, ""a_std_max_z"": 0.1707910432501119, ""floor"": 5.0}]}, ""date"": ""Fri May 31 2024 13:49:51 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-31 15:49:51"
"309139";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717170096, ""time_end"": 1717170216, ""doors_operations"": [{""time_start"": 1717170087.5447097, ""time_end"": 1717170093.59807, ""duration"": 6.053360223770142, ""a_std_max_x"": 0.07937381192477454, ""a_std_max_y"": 0.05640777435776801, ""a_std_max_z"": 0.16043275201784743, ""floor"": 1.0}]}, ""date"": ""Fri May 31 2024 13:43:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-31 15:43:49"
"309135";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717169976, ""time_end"": 1717170096, ""doors_operations"": [{""time_start"": 1717169827.28099, ""time_end"": 1717169828.2456696, ""duration"": 0.9646797180175781, ""a_std_max_x"": 0.02374060281113283, ""a_std_max_y"": 0.012103877450526001, ""a_std_max_z"": 0.041944233415245835, ""floor"": 0.0}, {""time_start"": 1717169831.57859, ""time_end"": 1717170004.925, ""duration"": 173.34641003608704, ""a_std_max_x"": 0.08462774233074977, ""a_std_max_y"": 0.06923659763541923, ""a_std_max_z"": 0.17075704848608064, ""floor"": 0.0}]}, ""date"": ""Fri May 31 2024 13:41:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-31 15:41:48"
"308630";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717149336, ""time_end"": 1717149456, ""doors_operations"": [{""time_start"": 1717149332.4451897, ""time_end"": 1717149338.4108698, ""duration"": 5.965680122375488, ""a_std_max_x"": 0.07012949937678538, ""a_std_max_y"": 0.05486851435749333, ""a_std_max_z"": 0.15754302132380044, ""floor"": 0.0}]}, ""date"": ""Fri May 31 2024 07:57:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-31 09:57:48"
"306473";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717085856, ""time_end"": 1717085976, ""doors_operations"": [{""time_start"": 1717085478.0709898, ""time_end"": 1717085479.1244698, ""duration"": 1.0534799098968506, ""a_std_max_x"": 0.04437465545070028, ""a_std_max_y"": 0.03874028693985407, ""a_std_max_z"": 0.13209828700088996, ""floor"": -2.0}]}, ""date"": ""Thu May 30 2024 14:19:47 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-30 16:19:47"
"306434";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717085256, ""time_end"": 1717085376, ""doors_operations"": [{""time_start"": 1717085266.44655, ""time_end"": 1717085272.3254297, ""duration"": 5.87887978553772, ""a_std_max_x"": 0.07892352574997467, ""a_std_max_y"": 0.04481110186790774, ""a_std_max_z"": 0.1593118375090799, ""floor"": -2.0}]}, ""date"": ""Thu May 30 2024 14:09:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-30 16:09:49"
"306417";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717085016, ""time_end"": 1717085136, ""doors_operations"": [{""time_start"": 1717084994.18011, ""time_end"": 1717085000.32227, ""duration"": 6.142159938812256, ""a_std_max_x"": 0.06271007831399324, ""a_std_max_y"": 0.05925654771546079, ""a_std_max_z"": 0.16772924027432898, ""floor"": 0.0}, {""time_start"": 1717085012.2555099, ""time_end"": 1717085079.642, ""duration"": 67.38649010658264, ""a_std_max_x"": 0.10038869646648528, ""a_std_max_y"": 0.05698352733171724, ""a_std_max_z"": 0.23399307800505406, ""floor"": -2.0}]}, ""date"": ""Thu May 30 2024 14:05:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-30 16:05:48"
"306397";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717084776, ""time_end"": 1717084896, ""doors_operations"": [{""time_start"": 1717084692.7221098, ""time_end"": 1717084736.241, ""duration"": 43.518890142440796, ""a_std_max_x"": 0.03064649860506411, ""a_std_max_y"": 0.04139873893995284, ""a_std_max_z"": 0.07229741745098961, ""floor"": 3.0}, {""time_start"": 1717084736.801, ""time_end"": 1717084805.256, ""duration"": 68.45499992370605, ""a_std_max_x"": 0.07529301501622582, ""a_std_max_y"": 0.05832998439401312, ""a_std_max_z"": 0.1821690529192613, ""floor"": 3.0}]}, ""date"": ""Thu May 30 2024 14:01:46 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-30 16:01:46"
"306380";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717084416, ""time_end"": 1717084536, ""doors_operations"": [{""time_start"": 1717084418.31, ""time_end"": 1717084424.4115498, ""duration"": 6.101549863815308, ""a_std_max_x"": 0.06718635063565519, ""a_std_max_y"": 0.055786753723829983, ""a_std_max_z"": 0.1552121589657295, ""floor"": 6}, {""time_start"": 1717084439.5032299, ""time_end"": 1717084445.9087899, ""duration"": 6.40556001663208, ""a_std_max_x"": 0.12176866829351705, ""a_std_max_y"": 0.04858723298330955, ""a_std_max_z"": 0.23708108910106815, ""floor"": 3.0}]}, ""date"": ""Thu May 30 2024 13:55:50 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-30 15:55:50"
"305090";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717056216, ""time_end"": 1717056336, ""doors_operations"": [{""time_start"": 1717056198.17059, ""time_end"": 1717056319.776, ""duration"": 121.60541009902954, ""a_std_max_x"": 0.06423748004240229, ""a_std_max_y"": 0.05555116849361375, ""a_std_max_z"": 0.16070589990847037, ""floor"": 6}]}, ""date"": ""Thu May 30 2024 06:05:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-30 08:05:49"
"303163";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1716999216, ""time_end"": 1716999336, ""doors_operations"": [{""time_start"": 1716999230.30163, ""time_end"": 1716999231.5297098, ""duration"": 1.2280797958374023, ""a_std_max_x"": 0.01712918098101535, ""a_std_max_y"": 0.02165682919055763, ""a_std_max_z"": 0.04118711011335011, ""floor"": 6}]}, ""date"": ""Wed May 29 2024 14:15:50 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-29 16:15:50"
"303003";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1716994896, ""time_end"": 1716995016, ""doors_operations"": [{""time_start"": 1716994964.0471098, ""time_end"": 1716994964.8371897, ""duration"": 0.7900798320770264, ""a_std_max_x"": 0.012992628659712006, ""a_std_max_y"": 0.023811982121908305, ""a_std_max_z"": 0.03550804559603236, ""floor"": -2}]}, ""date"": ""Wed May 29 2024 13:03:50 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-29 15:03:50"
"302988";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1716994536, ""time_end"": 1716994656, ""doors_operations"": [{""time_start"": 1716994504.48839, ""time_end"": 1716994567.1330001, ""duration"": 62.64461016654968, ""a_std_max_x"": 0.06663274766019929, ""a_std_max_y"": 0.057018549118858515, ""a_std_max_z"": 0.189574888103611, ""floor"": -1.0}, {""time_start"": 1716994619.7499897, ""time_end"": 1716994620.5400698, ""duration"": 0.7900800704956055, ""a_std_max_x"": 0.011146248373659441, ""a_std_max_y"": 0.013196926452435292, ""a_std_max_z"": 0.03383301207329115, ""floor"": -2}, {""time_start"": 1716994647.3943899, ""time_end"": 1716994648.9735498, ""duration"": 1.5791599750518799, ""a_std_max_x"": 0.01906995396275971, ""a_std_max_y"": 0.022580231098404926, ""a_std_max_z"": 0.04846690717815604, ""floor"": -2}]}, ""date"": ""Wed May 29 2024 12:57:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-05-29 14:57:49"
